accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	cdsCoverage	cdsCoverage_dict	6K	C	E1	E2	E3	nsP1	nsP2	nsP3	nsP4
OQ230627	OQ230627.1	1442	2018-03-27	Asia	Saudi Arabia			Homo sapiens	2023-04-15		Alguridi et al.	Alguridi,H.I.,Alzahrani,F.,Altayb,H.N.,Almalki,S.,Zaki,E.,Algarni,S.,Assiri,A.,Memish,Z.A.,Altayb,H.,Memish,Z.	KAU, Biochemistry	II-ECSA	0.0	good	3313.0	10042.0	11196.0	0.0976661593099949	E1:0.875	{'E1': 0.875}			0.875						
OQ760036	OQ760036.1	CHIKV|NB49|SE-05|2021-09-24	2021-09-24	South America	Brazil	Indiaroba	Sergipe	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil	II-ECSA	0.0	good	31986.0	142.0	11287.0	0.9424995772027736	6K:1,C:1,E1:0.9795454545454545,E2:1,E3:1,nsP1:0.9588785046728971,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 0.9795454545454545, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9588785046728971, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	0.9795454545454544	1.0	1.0	0.9588785046728971	1.0	1.0	1.0
OQ760058	OQ760058.1	CHIKV|NB70|SE-26|2021-10-01	2021-10-01	South America	Brazil	Porto Da Folha	Sergipe	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil	II-ECSA	0.0	good	31944.0	140.0	11271.0	0.941315744968713	6K:1,C:1,E1:0.9681818181818181,E2:1,E3:1,nsP1:0.9607476635514018,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 0.9681818181818181, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9607476635514018, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	0.968181818181818	1.0	1.0	0.9607476635514018	1.0	1.0	1.0
OQ760072	OQ760072.1	CHIKV|NB84|SE-40|2021-10-07	2021-10-07	South America	Brazil	Porto Da Folha	Sergipe	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil	II-ECSA	0.0	good	31923.0	143.0	11255.0	0.9397091155082022	6K:1,C:1,E1:0.9545454545454546,E2:1,E3:1,nsP1:0.9588785046728971,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 0.9545454545454546, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9588785046728971, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	0.9545454545454546	1.0	1.0	0.9588785046728971	1.0	1.0	1.0
OQ775483	OQ775483.1	PY_CHIKV_barcode62|AMBULATORIO|2023-02-24	2023-02-24	South America	Paraguay	Itaugua	Central	Homo sapiens	2023-07-26		Giovanetti et al.	Giovanetti,M.,Vazquez,C.,Lima,M.,Castro,E.,Rojas,A.,Gomez de la Fuente,A.,Aquino,C.,Cantero,C.,Fleitas,F.,Torales,J.,Barrios,J.,Ortega,M.J.,Gamarra,M.L.,Villalba,S.,Alfonzo,T.,Xavier,J.,Adelino,T.,Fritsch,H.,Iani,F.C.M.,Pereira,G.C.,de Oliveira,C.,Schuab,G.,Rodrigues,E.S.,Kashima,S.,Leite,J.,Gresh,L.,Franco,L.,Tegally,H.,Van Voorhis,W.C.,Lessels,R.,Bispo de Filippis,A.M.,Ojeda,A.,Sequera,G.,Montoya,R.,Holmes,E.C.,de Oliveira,T.,Roco,J.M.,Lourenco,J.,Fonseca,V.,Alcantara,L.C.J.,Rodrigues,E.,Mendes,J.,Filippis,A.M.Bd.	Pan American Health Organization (PAHO), PHE-Brazil	II-ECSA	0.0	good	31791.0	164.0	11317.0	0.9277016742770168	6K:1,C:1,E1:1,E2:1,E3:1,nsP1:0.9457943925233645,nsP2:1,nsP3:1,nsP4:0.8986928104575164	{'6K': 1.0, 'C': 1.0, 'E1': 1.0, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9457943925233645, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 0.8986928104575164}	1.0	1.0	1.0	1.0	1.0	0.9457943925233644	1.0	1.0	0.8986928104575164
OQ775544	OQ775544.1	PY_CHIKV_L2_barcode63|AMBULATORIO|2023-02-25	2023-02-25	South America	Paraguay	San Lorenzo	Central	Homo sapiens	2023-07-26		Giovanetti et al.	Giovanetti,M.,Vazquez,C.,Lima,M.,Castro,E.,Rojas,A.,Gomez de la Fuente,A.,Aquino,C.,Cantero,C.,Fleitas,F.,Torales,J.,Barrios,J.,Ortega,M.J.,Gamarra,M.L.,Villalba,S.,Alfonzo,T.,Xavier,J.,Adelino,T.,Fritsch,H.,Iani,F.C.M.,Pereira,G.C.,de Oliveira,C.,Schuab,G.,Rodrigues,E.S.,Kashima,S.,Leite,J.,Gresh,L.,Franco,L.,Tegally,H.,Van Voorhis,W.C.,Lessels,R.,Bispo de Filippis,A.M.,Ojeda,A.,Sequera,G.,Montoya,R.,Holmes,E.C.,de Oliveira,T.,Roco,J.M.,Lourenco,J.,Fonseca,V.,Alcantara,L.C.J.,Rodrigues,E.,Mendes,J.,Filippis,A.M.Bd.	Pan American Health Organization (PAHO), PHE-Brazil	II-ECSA	0.0	good	31983.0	141.0	11301.0	0.943767968882124	6K:1,C:1,E1:0.990909090909091,E2:1,E3:1,nsP1:0.9588785046728971,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 0.990909090909091, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9588785046728971, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	0.990909090909091	1.0	1.0	0.9588785046728971	1.0	1.0	1.0
OQ865321	OQ865321.1	LACENBA-292823084	2023-01-31	South America	Brazil	Condeuba		Homo sapiens	2023-08-15		Rego et al.	Rego,F.,Andrade,G.,Lima,T.,Nardy,V.,Leal,A.,Pereira,F.	Central Public Health Laboratory Goncalo Moniz, CLAVEP	II-ECSA	0.0	good	31981.0	127.0	11306.0	0.9332825976661592	6K:1,C:1,E1:0.9931818181818182,E2:1,E3:1,nsP1:0.9682242990654205,nsP2:1,nsP3:1,nsP4:0.9199346405228758	{'6K': 1.0, 'C': 1.0, 'E1': 0.9931818181818182, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9682242990654205, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 0.9199346405228758}	1.0	1.0	0.9931818181818182	1.0	1.0	0.9682242990654204	1.0	1.0	0.9199346405228758
OR167289	OR167289.1	CHIKV/Brazil/DF-LACENGO-2126771707/2023	2023-01-06	South America	Brazil	Distrito Federal		Homo sapiens	2023-09-04		Mendonca et al.	Mendonca,A.F.,Andrade,C.F.,Sobreiro,M.B.,Almeida,R.M.,Silva,V.L.,Pereira,L.A.	Central Public Health Laboratory Dr. Giovanni Cysneiros (LACEN-GO), Molecular Biology	II-ECSA	0.0	good	32078.0	124.0	11301.0	0.9452054794520548	6K:1,C:1,E1:0.990909090909091,E2:1,E3:1,nsP1:0.9700934579439252,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 0.990909090909091, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9700934579439252, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	0.990909090909091	1.0	1.0	0.9700934579439252	1.0	1.0	1.0
PQ841407	PQ841407.1	I751_iics	2023-01-04	South America	Paraguay	Asuncion		Homo sapiens	2025-07-20		Cardozo et al.	Cardozo,F.M.,Morel,R.L.,Marquez,S.E.,Carvajal,M.,Bernal,C.M.,Martinez,A.,Valenzuela,A.B.,Waggoner,J.J.,Cardenas,P.A.,Trueba,G.A.,Rojas,A.M.,Martinez,M.I.	Instituto de Investigaciones en Ciencias de la Salud, Biologia Molecular y Biotecnologia	II-ECSA	0.0	good	32068.0	115.0	11307.0	0.9460510739049552	6K:1,C:1,E1:0.9954545454545455,E2:1,E3:1,nsP1:0.9757009345794393,nsP2:0.9987468671679198,nsP3:0.9981132075471698,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 0.9954545454545455, 'E2': 1.0, 'E3': 1.0, 'nsP1': 0.9757009345794393, 'nsP2': 0.9987468671679198, 'nsP3': 0.9981132075471698, 'nsP4': 1.0}	1.0	1.0	0.9954545454545456	1.0	1.0	0.9757009345794392	0.9987468671679198	0.9981132075471698	1.0
PX308579	PX308579.1	HP_018	2025-08-01	Asia	China			Homo sapiens	2026-01-06		Zhang et al.	Zhang,Y.	Huangpu District Center for Disease Control and Prevention, Department of Laboratory Technology	II-ECSA	0.0	good	32095.0	77.0	11313.0	0.9501944867241672	6K:1,C:1,E1:1,E2:1,E3:1,nsP1:1,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 1.0, 'E2': 1.0, 'E3': 1.0, 'nsP1': 1.0, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PX657144	PX657144.1	SiCHIKV-Ross-2025	2023-04-20	Asia	Thailand	Bangkok		Homo sapiens	2026-02-08		Boondouylan et al.	Boondouylan,T.,Nuwong,W.,Horthongkham,N.,Suwannakarn,K.,Angkasekwinai,N.,Tansirichaiya,S.,Taiphakphaibun,P.,Nitayanon,P.,Saengdao,N.,Suputtamongkol,Y.,Sarasombath,P.T.	Siriraj Hospital, Microbiology	II-ECSA	0.0	good	35389.0	1.0	11826.0	1.0	6K:1,C:1,E1:1,E2:1,E3:1,nsP1:1,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 1.0, 'E2': 1.0, 'E3': 1.0, 'nsP1': 1.0, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
JX437514	JX437514.1	5chik10	2010-09-23	Asia	India			Homo sapiens	2012-10-06		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology	II-ECSA	0.0	good	1026.0	227.0	580.0	0.0299340436326737	nsP1:0.2205607476635514	{'nsP1': 0.2205607476635514}						0.2205607476635514			
JX437543	JX437543.1	34chik10	2010-09-26	Asia	India			Homo sapiens	2012-10-06		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology	II-ECSA	0.0	good	1026.0	227.0	580.0	0.0299340436326737	nsP1:0.2205607476635514	{'nsP1': 0.2205607476635514}						0.2205607476635514			
JX839775	JX839775.1	2chik09	2009-10-16	Asia	India			Homo sapiens	2012-11-25		Singh et al.	Singh,P.,Sharma,P.,Rizvi,M.A.,Mittal,V.,Rai,A.	National Centre for Disease Control, Biochemistry & Biotechnology	II-ECSA	0.0	good	2938.0	10145.0	11158.0	0.0857432775240994	E1:0.7659090909090909	{'E1': 0.7659090909090909}			0.7659090909090909						
KF925314	KF925314.1	HB84P119	1984-04-15	Africa	Central African Republic	Bombabia		Homo sapiens	2014-03-03		Desdouits et al.	Desdouits,M.,Kamgang,B.,Berthet,N.,Tricou,V.,Ngoagouni,C.,Gessain,A.,Manuguerra,J.C.,Nakoune,E.,Kazanji,M.	Institut Pasteur de Bangui, Virlogy Department	II-ECSA	0.0	good	2066.0	8490.0	9207.0	0.0607136817182479	E2:0.524822695035461,E3:0.265625	{'E2': 0.524822695035461, 'E3': 0.265625}				0.524822695035461	0.265625				
KJ558349	KJ558349.1	IND12TNCBE02	2012-11-22	Asia	India	Kovai		Homo sapiens	2014-05-25		Saravanamurali et al.	Saravanamurali,K.,Sathishkumar,R.,Gunasekaran,P.,Kaveri,K.,Prabhakaran,M.,Varghese,I.,Raja,A.,Senthilkumar,V.	Bharathiar University & King Institute of Preventive Medicine and Research, Department of Biotechnology & Department of Virology	II-ECSA	0.0	good	547.0	8692.0	8892.0	0.0169964485032978	E2:0.15839243498817968	{'E2': 0.15839243498817968}				0.1583924349881796					
KJ579187	KJ579187.1	BK68	2013-10-14	Asia	Thailand			Homo sapiens	2014-09-16		Wanlapakorn et al.	Wanlapakorn,N.,Thongmee,T.,Linsuwanon,P.,Chattakul,P.,Vongpunsawad,S.,Payungporn,S.,Poovorawan,Y.	Chulalongkorn University, Pediatrics	II-ECSA	0.0	good	33683.0	25.0	11756.0	0.9919668526974464	6K:1,C:1,E1:1,E2:1,E3:1,nsP1:1,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 1.0, 'E2': 1.0, 'E3': 1.0, 'nsP1': 1.0, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
KP239986	KP239986.1	ILS-MHD15	2013-04-10	Asia	India	Maharashtra		Homo sapiens	2015-10-16		Saswat et al.	Saswat,T.,Kumar,A.,Kumar,S.,Mamidi,P.,Muduli,S.,Debata,N.K.,Pal,N.S.,Pratheek,B.M.,Chattopadhyay,S.	Institute of Life Sciences, Infectious Disease and Biology	II-ECSA	0.0	good	611.0	10294.0	10498.0	0.0173346862844579	E1:0.15454545454545454	{'E1': 0.15454545454545454}			0.1545454545454545						
KR706558	KR706558.1	CHIKV-IND-12-SCSD12	2012-09-10	Asia	India	South Delhi		Aedes aegypti	2016-01-16		Sunil et al.	Sunil,S.,Jain,J.,Kushwah,R.,Singh,S.S.,Sharma,A.,Adak,T.,Singh,O.P.,Bhatnagar,R.,Subbarao,S.	International Centre for Genetic Engineering & Biotechnology, India, Insect Resistance Group	II-ECSA	0.0	good	1585.0	10388.0	10938.0	0.0465922543548114	E1:0.4159090909090909	{'E1': 0.4159090909090909}			0.4159090909090909						
KY703963	KY703963.1	CHIKV/Homo sapiens/NIC/1913.1C/2015	2015-09-07	North America	Nicaragua	Managua		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Gordon,A.,Harris,E.	J. Craig Venter Institute	III-Asian	0.0	good	31361.0	7.0	11346.0	0.958904109589041	6K:1,C:1,E1:1,E2:1,E3:1,nsP1:1,nsP2:1,nsP3:1,nsP4:1	{'6K': 1.0, 'C': 1.0, 'E1': 1.0, 'E2': 1.0, 'E3': 1.0, 'nsP1': 1.0, 'nsP2': 1.0, 'nsP3': 1.0, 'nsP4': 1.0}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
